235,All India Anna Dravida Munnetra Kazhagam,Votes,Dravida Munnetra Kazhagam,Votes,Indian National Congress,Votes,Bharatiya Janata Party,Votes,Desiya Murpokku Dravida Kazhagam,Votes,Bahujan Samaj Party,Votes,Naam Tamilar Katchi,Votes,Pattali Makkal Katchi,Votes,Indiya Jananayaka Katchi,Votes,Kongunadu Makkal Desia Katchi,Votes,Communist Party of India  (Marxist-Leninist)  (Liberation),Votes,Rashtriya Samaj Paksha,Votes,None of the Above,Votes,Youth And Students Party,Votes,Gokula Makkal Katchi,Votes,Viduthalai Chiruthaigal Katchi,Votes,Vijaya Bharatha Makkal (People) Party,Votes,Lok Jan Shakti Party,Votes,Vidiyalai Thedum Indhiyargal Party,Votes,Marumalarchi Dravida Munnetra Kazhagam,Votes,Shivsena,Votes,Samata Party,Votes,Communist Party of India  (Marxist),Votes,Nationalist Congress Party,,Valamaana Tamizhagam Katchi,,People's Party of India(secular),,Communist Party of India,Votes,The Future India Party,Votes,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Votes,Republican Party of India (A),Votes,Anbu Udhayam Katchi,Votes,Jebamani Janata,Votes,Makkalatchi Katchi,Votes,All India Women United Party,Votes,SOCIAL DEMOCRATIC PARTY OF INDIA,Votes,Jan Shakti Dal,Votes,Tamil Maanila Congress  (Moopanar),Votes,Gandhiya Makkal Iyakkam,Votes,Desiya Makkal Sakthi Katchi,Votes,Eluchi Desam Party,Votes,Christian Democratic Front,Votes,Tamilaga Sthabana Congress,Votes,Gandhiyan Peoples Party,Votes,Makkal Manadu Katchi,Votes,Thozhilalar Party,Votes,Akhila India Jananayaka Makkal Katchi (Dr. Isaac),Votes,All India Pattali Munnetra Katchi,Votes,Samajwadi Party,Votes,Bharat Pensioner's Front,Votes,Ulzaipali Makkal Katchy,Votes,Namadhu Makkal Katchi,Votes,Ganasangam Party of India,Votes,All Peoples Party,Votes,Indian Union Muslim League,Votes,All India Majlis-E-Ittehadul Muslimeen,Votes,Welfare Party Of India,Votes,Manithaneya Makkal Katchi,Votes,Sunder Samaj Party,Votes,United Communist Party of India,Votes,Puratchikara Thozilalar Katchi,Votes,Forward Democratic Labour Party,Votes,Republican Sena,Votes,Tamilar Makkal Katchi,Votes,Janata Dal  (Secular),Votes,Valimai Valartchi Indians Party,Votes,Republican Party of India,Votes,Sainik Samaj Party,Votes,Janata Dal  (United),Votes,Samuga Makkal Katchi,Votes,India Dravida Makkal Munnetra Katchi,Votes,Tamilaga Makkal Munnetra Kazhagam,Votes,India Makkal Munnetra Katchi,Votes,All India Forward Bloc,Votes,Indian Christian Front,Votes,Tamizhaga Vaazhvurimai Katchi,Votes,Puthiya Tamilagam,Votes,All India Forward Bloc  (Subhasist),Votes,Ezhuchi Tamilargal Munnetra Kazhagam,Votes,Anaithu Makkal Munnetra Kazhagam,Votes,"Makkal Sananayaga Kudiyarasu Katchi,",Votes,Rashtriya Janata Dal,Votes,Rashtriya Janta Party,Votes,Samajwadi Samaj Party,Votes,Socialistic Democratic Party,Votes,Makkal Kootamaipu Katchi,Votes,Jammu & Kashmir National Panthers Party,Votes,Desa Makkal Munnetrak Kazhgam,Votes,Democratic Party of India,Votes,Akhil Bharat Hindu Mahasabha,Votes,Democratic Corruption Liberation Front,Votes,Communist Party of India (Marxist-Leninist) Red Star,Votes,Ind Vote,Ind Count,First,Second,Third,Third-vote,Fourth,Fourth-vote,Fifth,Sixth,Margin,Margin ratio,Vote split,ADMK+,DMK+,DMDK+,BJP+,PMK,NTK,Margin - others,Total
Udumalaipettai,RADHAKRISHNAN K,81817,MUTHU K,76130,,,KANDHASAMY N,7339,GANESHKUMAR S,7090,VELUSAMY P,822,,,DURAISAMY P,1975,,,RAGUPATHI RAGHAVAN C,3562,,,,,None of the Above,3306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,876,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Bharatiya Janata Party,7339,Desiya Murpokku Dravida Kazhagam,7090,Kongunadu Makkal Desia Katchi,Pattali Makkal Katchi,5687,3.11%,Third,44.73%,41.62%,3.88%,4.01%,1.08%,0.00%,-10.54%,182917
Madathukulam,MANOHARAN K,74952,JAYARAMAKRISHNAN R,76619,,,MUTHUKUMAR A,2619,,,ALAVUDEEN S,783,RAVISHANKAR C,980,RAVICHANDRAN A,2443,,,KUMARAGURUBARAN,1573,,,,,None of the Above,2147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAHESWARI A S,6208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SURESH PANDIAN S,233,,,NARAYANAN T,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2717,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Tamil Maanila Congress  (Moopanar),6208,Bharatiya Janata Party,2619,Pattali Makkal Katchi,Kongunadu Makkal Desia Katchi,1667,0.97%,Third,43.69%,44.66%,3.62%,1.53%,1.42%,0.57%,-10.67%,171544
Palani,KUMARASAMY P,74459,SENTHILKUMAR I P,100045,,,KANAGARAJ N,4092,,,NAGENDRAN P,587,VINOTH RAJASEKARAN G,876,NAGARAJAN B,490,,,KRISHNAMOORTHI R,224,,,,,None of the Above,1460,,,,,,,,,,,,,,,,,,,RAJAMANICKAM V,9687,,,,,,,,,,,,,,,,,,,,,,,KYZER A,1370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAVI PAUL G,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4060,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Communist Party of India  (Marxist),9687,Bharatiya Janata Party,4092,SOCIAL DEMOCRATIC PARTY OF INDIA,Naam Tamilar Katchi,25586,12.96%,unknown,37.71%,50.66%,4.91%,2.07%,0.25%,0.44%,1.32%,197474
Oddanchatram,KITTUSAMY K,55988,SAKKARAPANI R,121715,,,PALANISAMY S.K,1909,,,,,SELVAKUMAR K,611,SHANMUGAM K,367,,,ARULANANTHAN P,376,,,,,None of the Above,1274,,,,,,,,,,,,,,,,,,,,,ARUMUGAM M,701,,,,,SANTHANAM K,3684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2789,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Communist Party of India,3684,Bharatiya Janata Party,1909,Independent,Nationalist Congress Party,65727,34.70%,unknown,29.56%,64.26%,1.94%,1.01%,0.19%,0.32%,28.52%,189414
Athoor,VISWANATHAN R NATHAM,94591,PERIYASAMY I,121738,,,ILANCHEZHIYAN S.P,1365,PACKIYA SELVARAJ M,3741,BALAMURUGAN A,419,MARIAGUNASEKARAN R,1013,NIRMALA GNANASOUNDARI I,671,,,SELVAKUMAR R,124,,,,,None of the Above,2105,,,,,,,,,ARUMUGAM K,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARAMAN A,126,,,PEYATHEVAR A,227,,,TAMIL NESAN R,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2409,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,3741,Bharatiya Janata Party,1365,Naam Tamilar Katchi,Pattali Makkal Katchi,27147,11.84%,unknown,41.26%,53.10%,1.63%,0.60%,0.29%,0.44%,6.20%,229252
Nilakkottai,THANGATHURAI R,85507,ANBAZHAGAN M,70731,,,ALAGUMANI R,2565,RAMASAMY K,7666,SARAVANAKUMAR P,746,SANGILIPANDIAN A,1204,RAMOORTHY N,2201,,,,,,,,,None of the Above,1819,,,,,,,,,SELVARAJ S,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAJENDIRAN V,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1301,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,7666,Bharatiya Janata Party,2565,Pattali Makkal Katchi,Naam Tamilar Katchi,14776,8.47%,unknown,48.99%,40.52%,4.39%,1.47%,1.26%,0.69%,-2.02%,174541
Natham,SHAJAHAN S,91712,ANDI AMBALAM M.A,93822,,,,,KARTHIKEYAN G,9373,KRISNAMOORTHI P,649,SIVASANKARAN V.DR,2393,SEERANGAN K,1155,SANDHANAKRISHAN M,1044,,,,,PANDI C,259,None of the Above,1844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4760,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,9373,Naam Tamilar Katchi,2393,Independent,Pattali Makkal Katchi,2110,1.02%,Third,44.30%,45.32%,4.53%,0.50%,0.56%,1.16%,-9.36%,207011
Dindigul,SREENIVASAN C,91413,BASHEER AHAMAED M,70694,,,THIRUMALAI BALAJI T.A,5079,,,ARASUR MANOHARAN S,429,GANESAN M.P,2227,PARASURAMAN R,2718,,,,,,,,,None of the Above,2783,,,,,,,,,,,,,,,BALAJI C.K,261,,,PANDI N,8657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHILIPDAS A,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1080,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Communist Party of India  (Marxist),8657,Bharatiya Janata Party,5079,Pattali Makkal Katchi,Naam Tamilar Katchi,20719,11.17%,unknown,49.30%,38.13%,4.67%,2.74%,1.47%,1.20%,-1.40%,185419
Vedasandur,PARAMASIVAM V.P.B,97555,,,SIVASAKTHIVEL GOUNDER R,77617,,,BALU S.R.K,12445,PALANICHAMY M,1264,MOHANRAJ S,932,PALANICHAMY C,480,SIVARANJANI S,477,MANI P,272,JAYANTHI P,221,MANEESHANKAR M.G,214,None of the Above,2256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4825,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Desiya Murpokku Dravida Kazhagam,12445,Independent,2512,Bahujan Samaj Party,Independent,19938,10.04%,unknown,49.13%,39.09%,6.27%,0.24%,0.24%,0.47%,-1.74%,198558
Aravakurichi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,,unknown,,,,,,,,0
Karur,VIJAYABHASKAR .M.R,81936,,,SUBRAMANIAN .BANK .K,81495,SIVASAAMI .K,3995,RAVI .A,6491,BOOPATHI .R,413,NANMAARAN .SELVA,2968,MURUGESAN .M,1376,,,SHANMUGAM .M,1552,,,,,None of the Above,3595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMTHIYAZ RIZVI .N,421,,,,,,,,,,,,,,,,,,,,,,,,,,,VELUSAMY .S.M,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2462,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Desiya Murpokku Dravida Kazhagam,6491,Bharatiya Janata Party,3995,Naam Tamilar Katchi,Kongunadu Makkal Desia Katchi,441,0.24%,Third,43.86%,43.62%,3.47%,2.14%,0.74%,1.59%,-12.28%,186813
Krishnarayapuram,GEETHA   M.,83977,,,,,NAVEENKUMAR   P.,5673,,,MURUGESAN   R.,646,THAVAMANI   P.,2024,PANDIYAN   M.,1327,,,MURUGAN   M.,1562,,,,,None of the Above,4742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIVANANTHAM   K.,10043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANNAN   S.,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIYYAR   V. K.,48676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9120,All India Anna Dravida Munnetra Kazhagam,Puthiya Tamilagam,Tamil Maanila Congress  (Moopanar),10043,Bharatiya Janata Party,5673,Independent,Naam Tamilar Katchi,35301,20.94%,unknown,49.82%,28.88%,5.96%,3.37%,0.79%,1.20%,-0.36%,168559
Kulithalai,CHANDRASEKARAN .R,78027,RAMAR .E,89923,,,SHATHAKATHULLA .N.K.N,1437,JAMUNA THANGAVEL,6726,MARUTHAIVEERAN .V,950,SEENI .PRAKASU,1643,BALASUBRAMANI .S,870,,,SANKAMADAI ASHOK KUMAR .S,233,,,,,None of the Above,1906,,,,,,,,,,,,,,,,,,,,,,,,,SIVA @ SIVAPERUMAL,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHANDRAN .S,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2034,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,6726,Naam Tamilar Katchi,1643,Bharatiya Janata Party,Independent,11896,6.46%,unknown,42.39%,48.85%,3.65%,0.78%,0.47%,0.89%,-2.30%,184076
Manapparai,CHANDRASEKAR R,91399,,,,,SENTHIL DEEPAK C,4154,KRISHNA GOPAL P,26316,,,ARUNAGIRI M,1849,LEEMA SIVAKUMAR A,826,,,,,,,,,None of the Above,3364,,,,,,,,,,,,,,,,,,,,,,,,,PUSPA HENRY RAJ S,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOHAMED NIZAM M A,73122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANIVEL P,736,PANDIAN V,464,PERUMAL R,193,,,,,,,,,,,,,,,,,,,,,,,,,3,3225,All India Anna Dravida Munnetra Kazhagam,Indian Union Muslim League,Desiya Murpokku Dravida Kazhagam,26316,Bharatiya Janata Party,4154,Independent,Naam Tamilar Katchi,18277,8.87%,Third,44.38%,35.50%,12.78%,2.02%,0.40%,0.90%,-11.24%,205956
Srirangam,VALARMATHI.S,108400,PALANIYANDI.M,93991,,,RAJESHKUMAR.A,5988,,,PERIYASAMY.A,214,RAJAMANICKAM.V,3095,UMAMAHESHWARI.S,1548,,,GNANASEKARAN M,147,,,,,None of the Above,4110,,,,,,,,,,,,,,,,,,,,,,,,,,,PUSHPAM.V,5646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAJENDRAN.PS,791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1459,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Bharatiya Janata Party,5988,Communist Party of India,5646,Naam Tamilar Katchi,Pattali Makkal Katchi,14409,6.39%,unknown,48.09%,41.70%,2.51%,2.66%,0.69%,1.37%,-3.81%,225389
Tiruchirappalli (West),MANOHARAN.R,63634,NEHRU.K.N,92049,,,,,JOSEPH JERALD.A,11469,SANGAPAL.M,356,MANOHARAN.SETHU,3080,VIJAYARAGHAVAN.K,1780,SATHEESHKUMAR.P,1012,,,,,,,None of the Above,4100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SELVAKUMAR.M,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAMAL MOHAMED.Y,916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,792,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,11469,Naam Tamilar Katchi,3080,Pattali Makkal Katchi,Indiya Jananayaka Katchi,28415,15.84%,unknown,35.47%,51.30%,6.39%,0.56%,0.99%,1.72%,2.61%,179423
Tiruchirappalli (East),NATARAJAN .N.,79938,,,JEROME AROCKIARAJ .G.,58044,RAJAIYAN .T.,7210,,,,,PRABU .R.,4033,SRIDHAR .B.,1866,,,,,,,,,None of the Above,4329,,,,,,,,,,,VENKATESAN .V.,183,DR. ROHAIYAAH SHAIK MOHAMED,9694,,,,,,,JAIKUMAR .N.,280,,,ROBERT CHRISTY .J.,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAYANTHI MALA .S.,106,,,,,,,,,,,,,,,,,RAJA .K.,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,657,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Marumalarchi Dravida Munnetra Kazhagam,9694,Bharatiya Janata Party,7210,Naam Tamilar Katchi,Pattali Makkal Katchi,21894,13.11%,unknown,47.87%,34.76%,5.81%,4.32%,1.12%,2.42%,-4.26%,166985
Thiruverumbur,KALAICHELVAN.D,69255,ANBIL MAHESH POYYAMOZHI,85950,,,CHITTIBABU E,3144,SENTHILKUMAR.S,13155,SACHITHANANTHAM.K,331,CHOLASOORAN V,3353,DILIPKUMAR.K,1498,,,,,,,,,None of the Above,2676,,,,,,,,,,,JAGADEESAN.N.B,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMSUDEEN S,809,,,,,SATHISKUMAR.S,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHAKUL HAMEED.S,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAMESH.K,164,,,PALANIMANICKAM.A.G,213,LARANCE Y,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1777,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,13155,Naam Tamilar Katchi,3353,Bharatiya Janata Party,Pattali Makkal Katchi,16695,9.12%,unknown,37.85%,46.98%,7.19%,1.72%,0.82%,1.83%,-6.05%,182968
Lalgudi,VIJAYAMURTHY M,74109,SOUNDARAPANDIAN A,77946,,,,,,,,,SAMPATH P,1521,UMAMAHESWARAN R,745,SELVAKUMAR K,892,,,,,,,None of the Above,1953,,,,,,,,,,,,,,,KARTHIK S,294,,,JAYASEELAN M,6784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAWRENCE S,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CITRARASU B,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2016,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Communist Party of India  (Marxist),6784,Naam Tamilar Katchi,1521,Indiya Jananayaka Katchi,Independent,3837,2.30%,Third,44.50%,46.80%,4.07%,0.54%,0.45%,0.91%,-6.40%,166554
Manachanallur,PARAMESWARI. M,83083,GANESAN. S,75561,,,ARAVIND. S,3662,BABU. M,8193,GANESAN. P,899,MANIKANDAN. R,1704,PRINCE. M,1212,,,,,,,,,None of the Above,2274,unknown,151,,,,,,,,,,,,,,,,,,,,,,,SAVARIMUTHU. S,119,,,,,,,NAGAJOTHI. G,188,,,,,,,,,,,,,,,GOVINDAN. R,195,,,,,,,,,,,,,,,,,,,,,,,,,PARTHIBAN. V,166,,,,,,,,,,,,,,,MAHALINGAM. S,355,,,,,,,,,,,,,,,,,,,,,,,SELVAM. M.S,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1999,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,8193,Bharatiya Janata Party,3662,Naam Tamilar Katchi,Pattali Makkal Katchi,7522,4.18%,Third,46.17%,41.99%,4.55%,2.03%,0.67%,0.95%,-7.67%,179968
Musiri,SELVARASU M,89398,,,VIJAYA BABU S,57311,,,,,PALANIMUTHU M,1159,ASAITHAMBI E,2446,RAGAVAN S,1423,RAYADURAI K,816,HARIBASKAR K,1063,,,,,None of the Above,2485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAJASEKARAN M,8581,,,,,,,,,,,,,,,,,,,,,,,,,,,CHELLAPERUMAL,162,,,,,,,,,,,,,,,CHANDRAVEL T,233,,,,,,,,,,,,,,,,,,,,,,,,,,,BALAKRISHNAN M,663,,,KALAISELVAN K,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4952,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Tamil Maanila Congress  (Moopanar),8581,Naam Tamilar Katchi,2446,Pattali Makkal Katchi,Independent,32087,18.77%,unknown,52.31%,33.53%,5.02%,0.48%,0.83%,1.43%,4.61%,170909
Thuraiyur,MAIVIZHI .A,73376,STALINKUMAR .S,81444,,,,,,,SANTHA SELVI .S,658,SATHYA .S,1532,,,ANANDHAN .V,577,,,,,,,None of the Above,2441,,,,,SUJADEVI .L.R,6281,,,VIJAYAGOBI .T,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KARUPAIYAN .C,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALAGESAN .P,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2017,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Viduthalai Chiruthaigal Katchi,6281,Naam Tamilar Katchi,1532,Bahujan Samaj Party,Independent,8068,4.76%,unknown,43.33%,48.10%,3.71%,0.34%,0.00%,0.90%,-3.80%,169329
Perambalur,R.THAMIZHSELVAN,101073,P.SIVAKAMI,94220,,,M.KALIYAPERUMAL,1981,K.RAJENDRAN,11482,,,ARUNKUMAR,2521,M.SATHIYASEELAN,4222,,,P.BALACHANDRAN,500,,,,,None of the Above,3040,,,,,,,,,,,,,,,C.PICHAIMUTHU,1311,,,,,A.GUNASEKARAN,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P.GUNALAN,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1676,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,11482,Pattali Makkal Katchi,4222,Naam Tamilar Katchi,Bharatiya Janata Party,6853,3.07%,Third,45.27%,42.20%,5.14%,0.89%,1.89%,1.13%,-9.46%,223273
Kunnam,R.T.RAMACHANDRAN,78218,DURAIRAJ T,59422,,,,,,,RAJENDRAN K,1092,ARUL,1665,VAITHILINGAM G,37271,RAGUPATHI A.V.R,1168,,,,,,,None of the Above,3024,,,,,J.MOHAMED SHANAVAS,19853,,,SRINIVASAN .V.P,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3120,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,37271,Viduthalai Chiruthaigal Katchi,19853,Naam Tamilar Katchi,Indiya Jananayaka Katchi,18796,9.17%,Third,38.15%,28.98%,9.68%,0.57%,18.18%,0.81%,-23.71%,205044
Ariyalur,RAJENDRAN. S,88523,SIVASANKAR. S.S,86480,,,,,JAYAVEL. RAMA,13599,SAVARIANANDHAM. V,675,MANIKKAM. T,1146,THIRUMAVALAVAN. K,13529,BASKAR. C,1330,,,,,,,None of the Above,1896,,,,,,,,,SATHYASEELAN. A,291,MATHESHWARAN. T,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3378,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,13599,Pattali Makkal Katchi,13529,Independent,Indiya Jananayaka Katchi,2043,0.97%,Third,41.94%,40.97%,6.44%,0.63%,6.41%,0.54%,-16.12%,211078
Jayankondam,RAMAJEYALINGAM.J.K.N,75672,,,RAJENDRAN.G,46868,KRISHNAMOORTHY.S,1092,,,CHINNADURAI.S,584,KRISHNAMOORTHY.R,1325,GURU @ GURUNATHAN.J,52738,,,,,,,,,None of the Above,1950,,,,,,,,,,,,,KANDASAMY.M.S,21405,,,,,,,ULAGANATHAN.N,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1990,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,Indian National Congress,46868,Marumalarchi Dravida Munnetra Kazhagam,21405,Naam Tamilar Katchi,Bharatiya Janata Party,22934,11.24%,Third,37.09%,22.97%,10.49%,0.54%,25.85%,0.65%,-28.70%,204038
